Energy_price [EUR/MWh]	Power_offered [MW]
                     5              75.9
                     5              82.0
                    21              84.8
                    45              85.0
                     5              85.0
                    30              87.0
                    30              89.0
                    45              91.0
                    35              92.0
                    15              94.0
                    10              95.0
                    10              95.0
                    10              95.4
                    45              99.0
                    10             100.0
                    25             100.0
                    22             102.0
                    20             113.7
                    45             119.0
                    21             124.0
                    20             124.1
                     5             135.0
                    43             138.9
                    20             140.3
                    42             140.5
                    43             140.8
                    40             141.1
                    41             141.2
                    43             142.1
                    41             142.3
                    41             142.9
                    21             144.0
                    40             144.4
                    43             144.5
                    41             144.6
                    45             145.0
                    20             147.3
                    10             160.6
                    41             161.1
                    65             165.0
                    45             169.0
                     5             171.0
                    20             181.7
                    20             187.0
                    42             191.5
                    30             192.8
                    75             195.0
                    20             199.6
                     5             203.5
                    45             215.0
                    30             216.3
                    41             221.2
                    43             249.5
                    42             281.8
                    43             291.5
                    85             375.0
                    25             444.0
                    25             444.0
                    20             700.5
                    13             701.1
                    30             703.8
                    30             705.6
                    20             707.0
                    20             708.8
                    20             710.0
                    20             711.6
                    13             713.8
                    20             714.9
                    25             888.0
                    11            2000.0
                     5            2100.0
