  Energy_price [EUR/MWh]	Power_offered [MW]
 113,7                          20      
 140,3                          20      
 160,6                          10      
 95,4                           10      
 124,1                          20      
 147,3                          20      
 216,3                          30      
 181,7                          20      
 199,6                          20      
 192,8                          30      
 714,9                          20      
 82                             5       
 89                             30      
 92                             35      
 94                             15      
 100                            10      
 135                            5       
 713,8                          13      
 75,88                          5       
 707                            20      
 85                             45      
 203,5                          5       
 708,8                          20      
 711,6                          20      
 701,1                          13      
 84,8                           21      
 700,5                          20      
 91                             45      
 710                            20      
 705,6                          30      
 85                             5       
 99                             45      
 144                            21      
 703,8                          30      
 2500                           6       
 888                            25      
 142,3                          41      
 444                            25      
 140,5                          42      
 141,2                          41      
 140,8                          43      
 142,9                          41      
 100                            25      
 119                            45      
 2000                           11      
 2100                           5       
 144,4                          40      
 141,1                          40      
 144,6                          41      
 142,1                          43      
 144,5                          43      
 195                            75      
 124                            21      
 138,9                          43      
 161,1                          41      
 191,5                          42      
 95                             10      
 165                            65      
 221,2                          41      
 249,5                          43      
 281,8                          42      
 145                            45      
 291,5                          43      
 375                            85      
 171                            5       
 87                             30      
 102                            22      
 215                            45      
 95                             10      
 444                            25      
 187                            20      
 169                            45
